OBJECTID;GRIDCODE;Subbasin;Area;Slo1;Len1;Sll;Csl;Wid1;Dep1;Lat;Long_;Elev;ElevMin;ElevMax;Bname;Shape_Leng;Shape_Area;HydroID;OutletID
1;1;1;9411.1875;14.3740596771;18351.1192155;24.3828101189;4.26711829291;19.7140732501;0.800573338513;37.5272995899;-3.50199556838;1098.09547296;889.0;1687.0;;62800.0;94111875.0;300001;100016
2;2;2;2769.375;16.0430221558;10306.7018331;18.2871075891;5.76681126148;9.46278059747;0.490790400048;37.4540298594;-3.57813242502;1016.05465259;832.0;1496.0;;38800.0;27693750.0;300002;100015
3;3;3;5428.3125;16.5908603668;12456.8542495;18.2871075891;3.44774026731;14.1706122673;0.642405556711;37.4634666622;-3.38174134756;1086.63963964;889.0;1343.0;;43350.0;54283125.0;300003;100014
4;4;4;2955.4375;16.6523151398;13936.7532368;18.2871075891;2.91335414426;9.83926772985;0.503723328156;37.4652030246;-3.46212143239;976.712827846;812.0;1217.0;;37850.0;29554375.0;300004;100012
5;5;5;2131.1875;17.4138736725;14816.9309063;18.2871075891;2.83109166569;8.08653939151;0.44196921136;37.4519793073;-3.43883283234;1022.80939529;812.0;1240.0;;41850.0;21311875.0;300005;100011
6;6;6;4583.4375;14.8226280212;16941.3473914;24.3828101189;2.25928341564;12.8027863604;0.600371237253;37.4606802761;-3.53129486433;949.142490177;769.0;1318.0;;56550.0;45834375.0;300006;100009
7;7;7;1626.25;13.686630249;8710.10280736;24.3828101189;2.58169146764;6.87546532347;0.396659879978;37.4141010554;-3.49851131704;889.885891723;766.0;1120.0;;32200.0;16262500.0;300007;100008
8;8;8;3013.4375;16.1248931885;8864.39212925;18.2871075891;7.04942909665;9.95467356983;0.507654485308;37.3988579265;-3.38533858319;1146.68820782;977.0;1675.0;;33650.0;30134375.0;300008;100013
9;9;9;6759.375;22.5629940033;17770.941546;15.2392563243;5.07437950131;16.1634340282;0.701303439306;37.3771114872;-3.44390661391;1152.05446742;795.0;2019.0;;56600.0;67593750.0;300009;100010
10;10;10;5099.1875;20.5386772156;15827.5910782;15.2392563243;4.77048576294;13.6486689241;0.626532703303;37.386656456;-3.54053976678;970.229916468;675.0;1974.0;;58450.0;50991875.0;300010;100007
11;11;11;10681.25;22.8968811035;18479.6726061;15.2392563243;5.91663091821;21.2697780633;0.842155296434;37.3536797555;-3.58997916995;967.364800384;638.0;1961.0;;65650.0;106812500.0;300011;100017
12;12;12;1799.9375;36.1020240784;11592.2095886;15.2392563243;9.37640057054;7.30708510225;0.413091560487;37.3065264927;-3.52840939038;1409.59298589;849.0;1974.0;;29350.0;17999375.0;300012;100006
13;13;13;1138.625;11.3618297577;8867.48827075;60.9570252972;3.40760536438;5.55159964536;0.343950257039;37.3110177114;-3.63907268422;749.11717297;637.0;938.0;;28300.0;11386250.0;300013;100005
14;14;14;1974.9375;18.4945373535;12402.717344;18.2871075891;7.14963502277;7.72541331985;0.428711067017;37.2898224328;-3.60646595834;870.985074275;636.0;1527.0;;30800.0;19749375.0;300014;100004
15;15;15;1666.5;7.84445238113;10363.656198;60.9570252972;1.43627895558;6.97706712236;0.400558064153;37.2910961572;-3.66448515689;706.037444374;606.0;869.0;;40000.0;16665000.0;300015;100001
16;16;16;2342.6875;31.1132068634;13371.0678119;15.2392563243;7.71898681932;8.55890737535;0.459017344762;37.2754714602;-3.55109028314;1176.89323041;745.0;1807.0;;39000.0;23426875.0;300016;100003
17;17;17;452.1875;19.6488761902;5455.05140368;18.2871075891;4.04054856113;3.18992771567;0.237722765245;37.2700919744;-3.63022827953;765.508362129;666.0;886.0;;14250.0;4521875.0;300017;100002
